Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,address,price,latitude,longitude
75.0,2+1,Unknown,1,1,1,Hayır,Kocaeli - Kandıra - Çamkonak Mahallesi,3100000,41.18400099999999,30.287269
80.0,1+1,Çatı Katı,1,0 (Yeni),4,Evet,Kocaeli - Kartepe - Ataevler Mahallesi,3300000,40.7438656,30.0463012
150.0,3+1,2.Kat,2,5-10,4,Evet,Kocaeli - Başiskele - Paşadağ Mahallesi,3926000,40.7064933,29.9827252
110.0,3+1,2.Kat,1,0 (Yeni),4,Hayır,Kocaeli - Başiskele - Fatih Mahallesi,2900000,40.6944072,29.9682719
87.0,2+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - İzmit - Gündoğdu Mahallesi,2750000,40.793316,29.9581538
60.0,2+1,Unknown,1,0 (Yeni),1,Hayır,Kocaeli - Derince - Terziler Mahallesi,3550000,40.950699,29.908477
103.0,3+1,1.Kat,2,0 (Yeni),6,Hayır,Kocaeli - İzmit - Çayırköy Mahallesi,4500000,40.800946,29.995282
95.0,1+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Gölcük - Çiftlik Mahallesi,3950000,40.7042886,29.8439109
160.0,3+1,Kot 1 (-1).Kat,1,21 Ve Üzeri,4,Hayır,Kocaeli - İzmit - Kozluk Mahallesi,1360000,40.7625464,29.9118896
110.0,2+1,Bahçe Katı,1,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Serdar Mahallesi,2400000,40.71265229999999,29.9408065
140.0,4+1,Çatı Katı,2,0 (Yeni),3,Evet,Kocaeli - Kandıra - Cebeci Mahallesi,4750000,41.187255,30.255321
125.0,3+1,5.Kat,1,11-15,5,Evet,Kocaeli - Körfez - İlimtepe Mahallesi,2500000,40.7905943,29.7599761
140.0,3+1,3.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Serdar Mahallesi,3250000,40.71265229999999,29.9408065
55.0,1+1,2.Kat,1,0 (Yeni),5,Hayır,Kocaeli - Gölcük - Piyalepaşa Mahallesi,1650000,40.7106363,29.8337835
80.0,2+1,1.Kat,1,0 (Yeni),4,Hayır,Kocaeli - Çayırova - Özgürlük Mahallesi,2950000,40.8283772,29.3860054
50.0,1+1,Yüksek Giriş,1,5-10,3,Hayır,Kocaeli - Çayırova - Yeni Mahallesi,2050000,40.8231961,29.3671362
90.0,3+1,Düz Giriş (Zemin),1,5-10,4,Hayır,Kocaeli - Gebze - Arapçeşme Mahallesi,2280000,40.8106236,29.4455
77.0,2+1,1.Kat,1,0 (Yeni),4,Hayır,Kocaeli - Kandıra - Orhan Mahallesi,1990000,41.0720634,30.1355413
85.0,2+1,1.Kat,1,0 (Yeni),4,Hayır,Kocaeli - Çayırova - Emek Mahallesi,3000000,40.8188859,29.403421
75.0,2+1,4.Kat,1,21 Ve Üzeri,4,Hayır,Kocaeli - İzmit - M. Alipaşa Mahallesi,1550000,40.7672137,29.9523716
140.0,3+1,Çatı Katı,2,5-10,3,Evet,Kocaeli - Gölcük - Çiftlik Mahallesi,2850000,40.7042886,29.8439109
75.0,2+1,2.Kat,1,3,3,Evet,Kocaeli - İzmit - Kabaoğlu Mahallesi,2700000,40.81542,29.929028
140.0,4+1,Bahçe Katı,3,1,4,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,3100000,40.7147344,29.9538172
85.0,2+1,2.Kat,1,5-10,4,Hayır,Kocaeli - Gebze - Cumhuriyet Mahallesi,2350000,40.8117542,29.3540715
80.0,2+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,2100000,40.7147344,29.9538172
100.0,3+1,1.Kat,1,21 Ve Üzeri,5,Evet,Kocaeli - İzmit - Şirintepe Mahallesi,1675000,40.7634588,29.85982379999999
65.0,1+1,6.Kat,1,21 Ve Üzeri,6,Hayır,Kocaeli - İzmit - Cedit Mahallesi,1150000,40.7690192,29.9379151
300.0,5+2,4.Kat,2,16-20,5,Hayır,Kocaeli - Körfez - Mimar Sinan Mahallesi,6250000,40.7659429,29.7570809
165.0,2+1,Düz Giriş (Zemin),2,16-20,5,Hayır,Kocaeli - İzmit - Turgut Mahallesi,2225000,40.7747821,29.9176735
140.0,3+1,2.Kat,1,5-10,3,Hayır,Kocaeli - İzmit - Kadıköy Mahallesi,2900000,40.7665482,29.9465892
35.0,1+1,2.Kat,1,0 (Yeni),4,Hayır,Kocaeli - İzmit - Kabaoğlu Mahallesi,1499000,40.81542,29.929028
90.0,2+1,Yüksek Giriş,1,5-10,4,Hayır,Kocaeli - Gebze - Güzeller Mahallesi,3250000,40.8069074,29.4338932
70.0,2+1,4.Kat,1,21 Ve Üzeri,5,Hayır,Kocaeli - Çayırova - Cumhuriyet Mahallesi,1549000,40.8670847,29.3801998
90.0,1+1,1.Kat,2,5-10,4,Hayır,Kocaeli - İzmit - Kadıköy Mahallesi,2600000,40.7665482,29.9465892
220.0,4+2,2.Kat,2,11-15,3,Evet,Kocaeli - İzmit - Hacıhızır Mahallesi,6000000,40.771117,29.9285176
80.0,2+1,Yüksek Giriş,1,0 (Yeni),4,Evet,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,2250000,40.7365963,30.0231861
