Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,latitude,longitude,price
100.0,3.0,1.0,1,21.0,5,1.0,40.7634588,29.85982379999999,1.675
65.0,1.0,6.0,1,21.0,6,0.0,40.7690192,29.9379151,1.15
300.0,5.0,4.0,2,16.0,5,0.0,40.7659429,29.7570809,6.25
165.0,2.0,2.0,2,16.0,5,0.0,40.7747821,29.9176735,2.225
140.0,3.0,2.0,1,5.0,3,0.0,40.7665482,29.9465892,2.9
35.0,1.0,2.0,1,0.0,4,0.0,40.81542,29.929028,1.499
90.0,2.0,2.0,1,5.0,4,0.0,40.8069074,29.4338932,3.25
70.0,2.0,4.0,1,21.0,5,0.0,40.8670847,29.3801998,1.549
90.0,1.0,1.0,2,5.0,4,0.0,40.7665482,29.9465892,2.6
220.0,4.0,2.0,2,11.0,3,1.0,40.771117,29.9285176,6.0
80.0,2.0,2.0,1,0.0,4,1.0,40.7365963,30.0231861,2.25
135.0,3.0,2.0,2,0.0,4,1.0,40.6944072,29.9682719,3.75
240.0,5.0,6.0,6,5.0,6,0.0,40.8069074,29.4338932,6.2
55.0,1.0,1.0,1,1.0,4,0.0,40.7766241,29.9436979,1.45
72.0,2.0,3.0,1,0.0,3,1.0,40.697935,29.9436979,2.85
100.0,3.0,2.0,2,0.0,3,0.0,40.7074291,29.9306863,5.15
110.0,3.0,8.0,1,16.0,8,1.0,40.7766241,29.9436979,2.49
167.0,4.0,2.0,2,3.0,5,0.0,40.7147344,29.9538172,3.999
200.0,4.0,8.0,3,0.0,8,1.0,40.800946,29.995282,7.25
95.0,2.0,2.0,1,0.0,4,0.0,40.7807635,29.7947139,2.875
70.0,1.0,2.0,1,0.0,3,0.0,40.7438656,30.0463012,1.775
115.0,3.0,2.0,1,0.0,3,0.0,40.7387377,30.0723009,2.95
165.0,4.0,2.0,1,5.0,4,0.0,40.7130973,29.8251023,2.78
85.0,2.0,2.0,1,0.0,3,0.0,40.7812258,29.384554,2.63
100.0,3.0,4.0,2,21.0,4,1.0,40.7617966,29.3918108,3.0
127.0,3.0,2.0,1,11.0,8,0.0,40.7711951,29.9241801,2.65
175.0,4.0,2.0,1,4.0,4,0.0,40.7625974,29.7730038,3.25
200.0,4.0,2.0,3,0.0,2,0.0,40.72833540000001,30.0520793,8.5
120.0,3.0,1.0,1,5.0,5,1.0,40.7905943,29.7599761,2.4
200.0,3.0,1.0,1,3.0,2,0.0,40.7679064,29.7787935,3.95
120.0,3.0,2.0,1,11.0,5,0.0,40.7905943,29.7599761,2.0
104.0,2.0,1.0,1,5.0,4,0.0,40.753727,29.7961611,2.6
160.0,3.0,1.0,2,4.0,5,1.0,40.7659429,29.7570809,5.35
190.0,3.0,3.0,1,2.0,3,0.0,40.7502682,29.7715563,2.995
374.0,1.0,2.0,0,5.0,3,0.0,40.885772,29.782312,2.95
120.0,3.0,2.0,1,5.0,5,1.0,40.7905943,29.7599761,2.12
120.0,3.0,3.0,1,5.0,5,1.0,40.7905943,29.7599761,2.35
120.0,3.0,1.0,1,5.0,5,1.0,40.7905943,29.7599761,2.5
105.0,2.0,4.0,1,11.0,4,1.0,40.7905943,29.7599761,1.85
120.0,3.0,2.0,1,16.0,3,0.0,40.6843433,29.9263488,2.5
