Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,price
105.0,3.0,2.0,2,0.0,3,0.0,2.675
85.0,2.0,4.0,1,21.0,4,0.0,2.65
130.0,3.0,1.0,1,5.0,2,0.0,2.26
120.0,3.0,4.0,1,0.0,4,0.0,2.52
115.0,4.0,3.0,1,11.0,3,0.0,3.8
80.0,2.0,1.0,1,0.0,4,0.0,2.85
80.0,2.0,2.0,1,0.0,5,0.0,2.25
90.0,2.0,1.0,1,0.0,4,0.0,3.6
80.0,2.0,2.0,1,0.0,4,0.0,2.75
170.0,4.0,2.0,2,5.0,4,0.0,3.2
125.0,3.0,2.0,1,11.0,6,0.0,3.0
190.0,5.0,4.0,2,0.0,4,0.0,3.79
90.0,2.0,2.0,2,5.0,3,0.0,2.63
139.0,3.0,2.0,2,0.0,4,1.0,5.9
130.0,3.0,2.0,1,0.0,1,0.0,4.5
30.0,1.0,2.0,1,0.0,2,0.0,0.36
175.0,4.0,3.0,2,3.0,4,1.0,10.0
148.0,3.0,3.0,2,5.0,5,0.0,5.5
120.0,3.0,2.0,1,5.0,3,0.0,2.297
90.0,2.0,2.0,1,4.0,3,0.0,2.5
142.0,3.0,5.0,1,11.0,9,1.0,2.65
60.0,2.0,2.0,1,5.0,4,0.0,2.25
65.0,2.0,2.0,1,3.0,5,0.0,1.85
100.0,3.0,2.0,1,11.0,5,0.0,2.73
75.0,2.0,2.0,2,11.0,5,0.0,1.45
220.0,4.0,3.0,2,5.0,4,0.0,5.6
85.0,2.0,3.0,1,3.0,4,1.0,2.95
120.0,3.0,1.0,1,0.0,3,0.0,2.42
178.0,4.0,2.0,3,3.0,1,1.0,25.0
75.0,2.0,2.0,1,5.0,5,0.0,1.75
115.0,3.0,3.0,1,5.0,3,1.0,2.45
85.0,2.0,2.0,1,0.0,3,1.0,2.65
180.0,3.0,3.0,2,2.0,4,1.0,4.1
80.0,2.0,2.0,1,11.0,4,0.0,1.7
140.0,4.0,4.0,2,21.0,4,0.0,1.43
80.0,2.0,2.0,1,21.0,4,0.0,1.95
100.0,2.0,2.0,1,5.0,4,1.0,2.88
115.0,3.0,3.0,2,0.0,3,0.0,2.9
118.0,3.0,2.0,1,21.0,7,0.0,2.9
95.0,2.0,3.0,1,0.0,4,0.0,2.65
50.0,1.0,1.0,1,5.0,3,0.0,1.55
90.0,2.0,3.0,1,0.0,3,0.0,2.45
90.0,2.0,2.0,1,0.0,3,0.0,2.85
225.0,5.0,3.0,3,11.0,3,0.0,8.5
150.0,3.0,2.0,1,5.0,4,0.0,3.25
90.0,2.0,2.0,1,0.0,5,0.0,2.99
160.0,3.0,3.0,2,4.0,3,1.0,5.85
120.0,3.0,2.0,2,0.0,2,0.0,3.6
170.0,4.0,5.0,1,0.0,5,0.0,5.25
95.0,2.0,2.0,1,0.0,3,0.0,2.3
170.0,4.0,5.0,1,0.0,5,0.0,5.25
140.0,3.0,2.0,2,2.0,3,1.0,3.2
83.0,2.0,1.0,1,21.0,4,0.0,0.6
280.0,4.0,2.0,3,11.0,3,0.0,11.0
67.0,2.0,2.0,1,0.0,3,0.0,1.99
175.0,3.0,3.0,1,0.0,3,0.0,7.125
180.0,4.0,4.0,2,5.0,4,0.0,3.5
135.0,3.0,2.0,1,5.0,5,0.0,2.85
140.0,3.0,2.0,2,0.0,3,0.0,3.1
150.0,3.0,1.0,1,0.0,4,0.0,3.5
130.0,3.0,2.0,1,11.0,3,0.0,2.69
